Product Title/Description,Event Sub Type,Order Date,Customer's Delivery Pincode,order_date,Shipping State,Gross Sale,Net Sales,Return,Promo Sales,hour
Product 1,Sale,2023-08-29 00:00:00.0,226002,2023-08-29 13:44:01,Uttar Pradesh,904.0,904.0,0.0,0.0,13.0
Product 2,Sale,2023-09-01 00:00:00.0,534462,2023-09-01 18:50:10,Andhra Pradesh,234.0,234.0,0.0,0.0,18.0
Product 2,Return,2023-08-26 00:00:00.0,600045,2023-08-26 10:58:44,Tamil Nadu,0.0,-222.0,-222.0,0.0,10.0
Product 3,Return,2023-08-23 00:00:00.0,335524,2023-08-23 12:36:51,Rajasthan,0.0,-234.0,-234.0,0.0,12.0
Product 3,Sale,2023-09-01 00:00:00.0,500035,2023-09-01 16:13:03,Telangana,222.0,222.0,0.0,0.0,16.0
Product 4,Sale,2023-08-29 00:00:00.0,496661,2023-08-29 19:22:10,Chattisgarh,899.0,899.0,0.0,0.0,19.0
Product 5,Sale,2023-09-01 00:00:00.0,854301,2023-09-01 17:38:27,Bihar,234.0,234.0,0.0,0.0,17.0
Product 5,Sale,2023-08-31 00:00:00.0,500083,2023-08-31 12:11:20,Telangana,222.0,222.0,0.0,0.0,12.0
Product 5,Sale,2023-08-31 00:00:00.0,638476,2023-08-31 12:20:47,Tamil Nadu,229.0,229.0,0.0,0.0,12.0
Product 5,Sale,2023-08-31 00:00:00.0,535128,,Andhra Pradesh,443.0,443.0,0.0,0.0,
Product 6,Sale,2023-09-01 00:00:00.0,678701,2023-09-01 13:42:22,Kerala,954.0,954.0,0.0,954.0,13.0
Product 7,Sale,2023-08-29 00:00:00.0,713212,2023-08-29 22:05:17,West Bengal,1049.0,1049.0,0.0,0.0,22.0
Product 8,Sale,2023-08-31 00:00:00.0,535128,2023-08-31 20:09:39,Andhra Pradesh,443.0,443.0,0.0,0.0,20.0
Product 8,Sale,2023-09-01 00:00:00.0,110015,2023-09-01 15:10:30,Delhi,214.0,214.0,0.0,0.0,15.0
Product 8,Sale,2023-09-01 00:00:00.0,500090,2023-09-01 19:38:09,Telangana,209.0,209.0,0.0,0.0,19.0
Product 9,Sale,2023-09-01 00:00:00.0,500035,2023-09-01 16:14:14,Telangana,209.0,209.0,0.0,0.0,16.0
Product 9,Return,2023-08-24 00:00:00.0,140603,2023-08-24 06:24:22,Punjab,0.0,-214.0,-214.0,0.0,6.0
Product 9,Return,2023-08-28 00:00:00.0,609404,2023-08-28 10:29:46,Tamil Nadu,0.0,-214.0,-214.0,0.0,10.0
Product 9,Sale,2023-09-01 00:00:00.0,518502,2023-09-01 14:02:12,Andhra Pradesh,214.0,214.0,0.0,0.0,14.0
Product 9,Return,2023-08-24 00:00:00.0,518502,2023-08-24 19:25:30,Andhra Pradesh,0.0,-193.0,-193.0,0.0,19.0
Product 10,Sale,2023-09-01 00:00:00.0,841219,2023-09-01 14:12:52,Bihar,954.0,954.0,0.0,0.0,14.0
Product 11,Return,2023-08-31 00:00:00.0,500072,2023-08-31 20:31:37,Telangana,0.0,-203.0,-203.0,0.0,20.0
Product 6,Return,2023-08-17 00:00:00.0,844101,2023-08-17 16:26:27,Bihar,0.0,-1034.0,-1034.0,0.0,16.0
Product 8,Return,2023-08-27 00:00:00.0,756045,2023-08-27 11:21:08,Odisha,0.0,-211.0,-211.0,0.0,11.0
